Feature / Attribute Name,Module (ex. Backup / Schema / AI / Admin),"Primary Value Metric (ex. GB, Frequency, Credits, Workspaces, Feature Access, etc.)",Cost to Baseout,Perceived Value to Customer (Essential/High/Med/Low),Perceived Value to Customer $,Proposed Tier Placement (per Features.md — Trial/Starter/Launch/Growth/Pro/Business/Enterprise),Notes
Scheduled backup (monthly / weekly / daily),Backup,Frequency (Monthly all / Weekly Launch+ / Daily Pro+),Transfer compute per run — static re-sends everything each run,Essential,$10–30/mo (anchor: On2Air $9.99–79.99; ProBackup $31+ for daily),Core — all tiers; frequency ladder is the tier lever,✅ Built. The category's table-stakes feature; frequency ladder was On2Air's main gate too
Instant backup (webhook-driven near-real-time),Backup,Frequency / Feature Access,Low steady-state; webhook plumbing + SpaceDO polling infra,High,+$50–100/mo premium (no competitor offers it — ProBackup is daily-only on all tiers),Business+,❌ Not built. Verified 2026-07: no rival has sub-daily; genuine differentiator if shipped
Manual on-demand backup runs,Backup,Runs/mo (2 Launch / 5 Growth / unlimited Pro+),Same as a scheduled run,Med,$5–10/mo,Launch+ (extras 10 credits/run),✅ Built. Consultants' snapshot-before-change ritual maps here
Backup mode: Static (CSV/JSON to destination),Backup,Credits (transfer volume),Transfer compute; ~zero at rest on BYOS (streams through memory),Essential,$10–20/mo (the On2Air legacy product),Core — all tiers,✅ Built. BYOS privacy story: record data never touches Baseout servers
Backup mode: Dynamic schema-only (D1),Backup,Feature Access,Very cheap — D1 SQLite schema metadata only,Med (enabler),Bundled enabler — unlocks Schema capability,Trial + Starter,Partially built. Powers the pre-registration schema-viz funnel hook
Backup mode: Dynamic full database,Backup,DB Storage GB (1 GB → 100 GB ladder),Real COGS ladder: D1 per-GB → shared PG amortized → dedicated PG instance,High,$30–100/mo (anchor: Whalesync 10–50K records = $120–200/mo for sync only),Launch+ (D1) / Pro (Shared PG) / Business (Dedicated PG),The architectural split all pricing hangs on; each DB rung is a real cost step
Storage destinations: Google Drive / Dropbox / Box / OneDrive,Backup,Destination count / Feature Access,OAuth maintenance per provider; ~zero at rest (BYOS),High,$5–15/mo equivalent,Core — all tiers,✅ Built. Most destinations in market; ONLY OneDrive support anywhere (verified claim to pressure-test)
Storage destinations: Amazon S3 + Frame.io,Backup,Feature Access,~zero at rest; integration maintenance,Med,$5–10/mo,Growth+,❌ Stubbed. S3 matters to the technical-ops persona
Storage destination: Custom / BYOS,Backup,Feature Access,~zero at rest,High (privacy/compliance buyers),$10–25/mo,Pro+,❌ Stubbed. Competitors consolidating onto own hosted storage — BYOS is the counter-position
Managed R2 file storage,Backup,GB stored (250 MB → 250 GB ladder),Real storage COGS (~$0.015/GB/mo raw R2; billed $0.50/GB overage),Med,$0.50/GB overage is the monetization,Core — GB ladder per tier,✅ Built. Storage billed in dollars separately from credits; does not reset monthly
Snapshot retention window,Backup,Duration (30 days → 24 months → custom),Persistent storage cost — grows with retention; cleanup is the containment,High,$10–30/mo (anchor: ProBackup gates history 6mo/2yr/unlimited; AirBackups sells 5-yr retention),Ladder: Trial 30d → Business 24mo → Enterprise custom,Retention is a proven tier lever across the whole category
Smart rolling cleanup policies,Backup,Policy sophistication (Basic → Time-based → Two/Three-tier → Custom),Negligible compute — actually SAVES Baseout storage cost,Med,$5–10/mo,Ladder: all tiers; Custom at Business+,❌ Not built. Rare feature that cuts COGS while being customer-visible value
Backup encryption at rest (managed DB + R2),Backup,Feature Access,Negligible (platform default),Essential (trust gate),Not separately monetizable — purchase blocker if absent,Core — all tiers,✅ Built. AES-256-GCM; table stakes for the compliance narrative
